[2025-10-05 11:40:09.472] <Wally 2>    (in) : name
[2025-10-05 11:40:09.476] <Wally 2>    (in) : version
[2025-10-05 11:40:09.476] <Wally 2>    (in) : protocol_version
[2025-10-05 11:40:09.476] <Wally 2>    (in) : list_commands
[2025-10-05 11:40:09.477] <Wally 2>  (meta) : Engine Started
[2025-10-05 11:40:09.513] <Wally 2>  (meta) : Connection Failed
[2025-10-05 11:40:09.513] <Wally 2>  (meta) : Connection Failed
[2025-10-05 11:40:09.514] <Wally 2>  (meta) : Connection Failed
[2025-10-05 11:40:09.514] <Wally 2>  (meta) : Connection Failed
[2025-10-05 11:45:43.804] <Wally>    (in) : quit
[2025-10-05 11:45:45.640] <Wally 2>    (in) : quit
[2025-10-05 11:45:49.817] <Wally>    (in) : quit
[2025-10-05 11:45:51.626] <Wally 2>    (in) : quit
[2025-10-05 11:47:34.961] <Wally>    (in) : protocol_version
[2025-10-05 11:47:34.965] <Wally>    (in) : komi 6.5
[2025-10-05 11:51:14.006] <Wally 2>    (in) : quit
[2025-10-05 11:51:15.667] <Wally 2>    (in) : quit
[2025-10-05 11:51:17.273] <Wally>    (in) : quit
[2025-10-05 11:51:18.714] <Wally>    (in) : quit
