[2025-10-06 01:55:04.215] <Wally>    (in) : name
[2025-10-06 01:55:04.216] <Wally>    (in) : version
[2025-10-06 01:55:04.216] <Wally>    (in) : protocol_version
[2025-10-06 01:55:04.216] <Wally>    (in) : list_commands
[2025-10-06 01:55:04.216] <Wally>  (meta) : Engine Started
[2025-10-06 01:55:04.346] <Wally>   (out) : = Wally
[2025-10-06 01:55:04.346] <Wally>   (out) : 
[2025-10-06 01:55:04.346] <Wally>   (out) : = 1.0 
[2025-10-06 01:55:04.346] <Wally>   (out) : 
[2025-10-06 01:55:04.346] <Wally>   (out) : = 1
[2025-10-06 01:55:04.346] <Wally>   (out) : 
[2025-10-06 01:55:04.346] <Wally>   (out) : = protocol_version
[2025-10-06 01:55:04.347] <Wally>   (out) : 
[2025-10-06 01:55:17.134] <Wally>    (in) : komi 6.5
[2025-10-06 01:55:17.170] <Wally>   (out) : =
[2025-10-06 01:55:17.170] <Wally>   (out) : 
[2025-10-06 01:55:17.177] <Wally>    (in) : boardsize 9
[2025-10-06 01:55:17.186] <Wally>   (out) : =
[2025-10-06 01:55:17.186] <Wally>   (out) : 
[2025-10-06 01:55:17.198] <Wally>    (in) : clear_board
[2025-10-06 01:55:17.198] <Wally>    (in) : play B G7
[2025-10-06 01:55:17.205] <Wally>   (out) : =
[2025-10-06 01:55:17.205] <Wally>   (out) : 
[2025-10-06 01:55:17.205] <Wally>   (out) : =
[2025-10-06 01:55:17.206] <Wally>   (out) : 
[2025-10-06 01:55:17.210] <Wally>    (in) : genmove W
[2025-10-06 01:55:17.216] <Wally>   (out) : = G6
[2025-10-06 01:55:17.216] <Wally>   (out) : 
[2025-10-06 01:55:17.224] <Wally>   (err) : capture move XX
[2025-10-06 01:55:17.224] <Wally>   (err) : save move: XX
[2025-10-06 01:55:17.224] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:17.224] <Wally>   (err) : surround move: G6
[2025-10-06 01:55:17.224] <Wally>   (err) : best move G6
[2025-10-06 01:55:18.682] <Wally>    (in) : play B F3
[2025-10-06 01:55:18.689] <Wally>   (out) : =
[2025-10-06 01:55:18.689] <Wally>   (out) : 
[2025-10-06 01:55:18.693] <Wally>    (in) : genmove W
[2025-10-06 01:55:18.697] <Wally>   (out) : = G8
[2025-10-06 01:55:18.697] <Wally>   (out) : 
[2025-10-06 01:55:18.705] <Wally>   (err) : capture move XX
